epoch,speed_mae,angle_mae,speed_mre,angle_mre
5,164.304199,1.518187,27.3840%,24.1627%
6,136.599228,1.516636,22.7665%,24.1380%
7,120.160637,1.488681,20.0268%,23.6931%
8,141.106354,1.474818,23.5177%,23.4725%
9,154.722946,1.481723,25.7872%,23.5823%
10,92.498955,1.484230,15.4165%,23.6223%
11,69.565109,1.519085,11.5942%,24.1770%
12,96.045776,1.541227,16.0076%,24.5294%
Speed_MAE: 121.875401
Angle_MAE: 1.503073
Speed_MRE: 20.3126%
Angle_MRE: 23.9222%
