epoch,train_loss,test_loss
2,0.863560,0.703189
3,0.810095,0.693527
4,0.827250,0.695068
5,0.634233,0.583495
6,0.861126,0.566466
7,0.953996,0.549678
8,0.844116,0.578938
9,0.768664,0.613554
10,0.707032,0.568438
11,0.669460,0.588365
12,0.696148,0.638197
