epoch,speed_mae,angle_mae,speed_mre,angle_mre
3,189.493042,2.041315,31.5822%,32.4885%
4,179.320953,2.141694,29.8868%,34.0861%
5,136.599228,1.516636,22.7665%,24.1380%
6,120.160637,1.488681,20.0268%,23.6931%
7,141.106354,1.474818,23.5177%,23.4725%
8,154.722946,1.481723,25.7872%,23.5823%
9,92.498955,1.484230,15.4165%,23.6223%
10,69.565109,1.519085,11.5942%,24.1770%
11,96.045776,1.541227,16.0076%,24.5294%
Speed_MAE: 131.057000
Angle_MAE: 1.632157
Speed_MRE: 21.8428%
Angle_MRE: 25.9766%
